,Training Time,Prediction Time,Accuracy
Naive Bayes,0.08416891098022461,0.08639407157897949,0.770274855786
Decision Trees,5.467579126358032,0.003923654556274414,0.855446216491
AdaBoost,31.252965450286865,0.08885741233825684,0.531048523923
Random Forest,1.4076924324035645,0.008578062057495117,0.903970139125
