,Training Time,Prediction Time,Accuracy
Naive Bayes,0.21111416816711426,0.00027441978454589844,0.8
Decision Trees,29.525442361831665,0.00019431114196777344,0.82
K Nearest Neighbours,1.0772864818572998,0.6391575336456299,0.81
AdaBoost,88.33310770988464,0.006726503372192383,0.78
Random Forest,33.31048369407654,0.001294851303100586,0.82
GA Neural Network,5.0477612018585205,0.005316972732543945,0.82
