,training_time,accuracy
count_k10,0.007397174835205078,0.802867383513
count_k50,0.008085966110229492,0.885304659498
count_k100,0.013344287872314453,0.89247311828
count_k200,0.025388479232788086,0.913978494624
tfidf_k10,0.0022406578063964844,0.793906810036
tfidf_k50,0.005224704742431641,0.824372759857
tfidf_k100,0.008945226669311523,0.862007168459
tfidf_k200,0.02029895782470703,0.89605734767
count_all,0.9531710147857666,0.865591397849
tfidf_all,0.8660614490509033,0.849462365591
