,Training Time,Prediction Time,Accuracy
Naive Bayes,0.008715391159057617,0.0005304813385009766,0.885304659498
Decision Trees,0.029042720794677734,0.0002224445343017578,0.860215053763
AdaBoost,0.2080247402191162,0.009595155715942383,0.881720430108
Random Forest,0.06039881706237793,0.0018992424011230469,0.856630824373
GA Neural Network,8.643001556396484,0.05691981315612793,0.8637992831541219
